business	dictionary_code	item_code	item_short_name	item_full_name	analytical_attribute_code
FB	ACCOUNTS	20211	20211	Бухгалтерский счет 20211	account
FB	ACCOUNTS	40210	40210	Бухгалтерский счет 40210	account
FB	ACCOUNTS	50113	50113	Бухгалтерский счет 50113	account
FB	ACCOUNTS	50211	50211	Бухгалтерский счет 50211	account
FB	ACCOUNTS	50221	50221	Бухгалтерский счет 50221	account
FB	ACCOUNTS	50222	50222	Бухгалтерский счет 50222	account
FB	ACCOUNTS	50231	50231	Бухгалтерский счет 50231	account
FB	ACCOUNTS	50232	50232	Бухгалтерский счет 50232	account
FB	ACCOUNTS	АКР_1	АКР_1	Бухгалтерский счет АКР_1	account
FB	ACCOUNTS	БА_ГАБС_1	БА_ГАБС_1	Бухгалтерский счет БА_ГАБС_1	account
FB	ACCOUNTS	БА_ГАБС_2	БА_ГАБС_2	Бухгалтерский счет БА_ГАБС_2	account
FB	ACCOUNTS	БА_ГАБС_3	БА_ГАБС_3	Бухгалтерский счет БА_ГАБС_3	account
FB	ACCOUNTS	БА_ГРБС_1	БА_ГРБС_1	Бухгалтерский счет БА_ГРБС_1	account
FB	ACCOUNTS	БА_ГРБС_2	БА_ГРБС_2	Бухгалтерский счет БА_ГРБС_2	account
FB	ACCOUNTS	БА_ГРБС_3	БА_ГРБС_3	Бухгалтерский счет БА_ГРБС_3	account
FB	ACCOUNTS	БА_ГРБС_4	БА_ГРБС_4	Бухгалтерский счет БА_ГРБС_4	account
FB	ACCOUNTS	БА_КОНТР_1	БА_КОНТР_1	Бухгалтерский счет БА_КОНТР_1	account
FB	ACCOUNTS	БА_ЛБО_1	БА_ЛБО_1	Бухгалтерский счет БА_ЛБО_1	account
FB	ACCOUNTS	БА_ЛБО_2	БА_ЛБО_2	Бухгалтерский счет БА_ЛБО_2	account
FB	ACCOUNTS	БА_ЛБО_3	БА_ЛБО_3	Бухгалтерский счет БА_ЛБО_3	account
FB	ACCOUNTS	БА_ЛБО_4	БА_ЛБО_4	Бухгалтерский счет БА_ЛБО_4	account
FB	ACCOUNTS	БА_РБС_РЕЗ_1	БА_РБС_РЕЗ_1	Бухгалтерский счет БА_РБС_РЕЗ_1	account
FB	ACCOUNTS	БА_УТВ_БДЖ_1	БА_УТВ_БДЖ_1	Бухгалтерский счет БА_УТВ_БДЖ_1	account
FB	ACCOUNTS	БА_УТВ_БДЖ_2	БА_УТВ_БДЖ_2	Бухгалтерский счет БА_УТВ_БДЖ_2	account
FB	ACCOUNTS	БА_УТВ_БДЖ_3	БА_УТВ_БДЖ_3	Бухгалтерский счет БА_УТВ_БДЖ_3	account
FB	ACCOUNTS	БА_УТВ_БДЖ_4	БА_УТВ_БДЖ_4	Бухгалтерский счет БА_УТВ_БДЖ_4	account
FB	ACCOUNTS	БА_УТВ_ГРБС_1	БА_УТВ_ГРБС_1	Бухгалтерский счет БА_УТВ_ГРБС_1	account
FB	ACCOUNTS	БА_УТВ_ГРБС_2	БА_УТВ_ГРБС_2	Бухгалтерский счет БА_УТВ_ГРБС_2	account
FB	ACCOUNTS	БА_УТВ_ГРБС_3	БА_УТВ_ГРБС_3	Бухгалтерский счет БА_УТВ_ГРБС_3	account
FB	ACCOUNTS	БА_УТВ_ГРБС_4	БА_УТВ_ГРБС_4	Бухгалтерский счет БА_УТВ_ГРБС_4	account
FB	ACCOUNTS	БА_ФАИП_1	БА_ФАИП_1	Бухгалтерский счет БА_ФАИП_1	account
FB	ACCOUNTS	БА_ФАИП_2	БА_ФАИП_2	Бухгалтерский счет БА_ФАИП_2	account
FB	ACCOUNTS	БА_ФАИП_3	БА_ФАИП_3	Бухгалтерский счет БА_ФАИП_3	account
FB	ACCOUNTS	БО_ПБС_ЗФ_1	БО_ПБС_ЗФ_1	Бухгалтерский счет БО_ПБС_ЗФ_1	account
FB	ACCOUNTS	БО_ПБС_ЗФ_2	БО_ПБС_ЗФ_2	Бухгалтерский счет БО_ПБС_ЗФ_2	account
FB	ACCOUNTS	БО_ПБС_ЗФ_3	БО_ПБС_ЗФ_3	Бухгалтерский счет БО_ПБС_ЗФ_3	account
FB	ACCOUNTS	БО_ПБС_ЗФ_ВАЛ_1	БО_ПБС_ЗФ_ВАЛ_1	Бухгалтерский счет БО_ПБС_ЗФ_ВАЛ_1	account
FB	ACCOUNTS	БО_ПБС_ЗФ_ВАЛ_2	БО_ПБС_ЗФ_ВАЛ_2	Бухгалтерский счет БО_ПБС_ЗФ_ВАЛ_2	account
FB	ACCOUNTS	БО_ПБС_ЗФ_ВАЛ_3	БО_ПБС_ЗФ_ВАЛ_3	Бухгалтерский счет БО_ПБС_ЗФ_ВАЛ_3	account
FB	ACCOUNTS	БО_ПБС_ПР_1	БО_ПБС_ПР_1	Бухгалтерский счет БО_ПБС_ПР_1	account
FB	ACCOUNTS	БО_ПБС_ПР_2	БО_ПБС_ПР_2	Бухгалтерский счет БО_ПБС_ПР_2	account
FB	ACCOUNTS	БЮДЖЕТ_1	БЮДЖЕТ_1	Бухгалтерский счет БЮДЖЕТ_1	account
FB	ACCOUNTS	БЮДЖЕТ_ВАЛ_1	БЮДЖЕТ_ВАЛ_1	Бухгалтерский счет БЮДЖЕТ_ВАЛ_1	account
FB	ACCOUNTS	ВЫБЫТИЯ_ВН	ВЫБЫТИЯ_ВН	Бухгалтерский счет ВЫБЫТИЯ_ВН	account
FB	ACCOUNTS	ВЫБЫТИЯ_КУ	ВЫБЫТИЯ_КУ	Бухгалтерский счет ВЫБЫТИЯ_КУ	account
FB	ACCOUNTS	ДО_ОПЛ_1	ДО_ОПЛ_1	Бухгалтерский счет ДО_ОПЛ_1	account
FB	ACCOUNTS	ДО_ПБС_1	ДО_ПБС_1	Бухгалтерский счет ДО_ПБС_1	account
FB	ACCOUNTS	ДО_ПБС_2	ДО_ПБС_2	Бухгалтерский счет ДО_ПБС_2	account
FB	ACCOUNTS	ДО_ПБС_3	ДО_ПБС_3	Бухгалтерский счет ДО_ПБС_3	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_1	ДО_ПБС_ВАЛ_1	Бухгалтерский счет ДО_ПБС_ВАЛ_1	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_2	ДО_ПБС_ВАЛ_2	Бухгалтерский счет ДО_ПБС_ВАЛ_2	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_3	ДО_ПБС_ВАЛ_3	Бухгалтерский счет ДО_ПБС_ВАЛ_3	account
FB	ACCOUNTS	ДО_ПБС_СРОК	ДО_ПБС_СРОК	Бухгалтерский счет ДО_ПБС_СРОК	account
FB	ACCOUNTS	ЛБО_1	ЛБО_1	Бухгалтерский счет ЛБО_1	account
FB	ACCOUNTS	ЛБО_ВАЛ_1	ЛБО_ВАЛ_1	Бухгалтерский счет ЛБО_ВАЛ_1	account
FB	ACCOUNTS	ЛБО_ГАБС_1	ЛБО_ГАБС_1	Бухгалтерский счет ЛБО_ГАБС_1	account
FB	ACCOUNTS	ЛБО_ГАБС_2	ЛБО_ГАБС_2	Бухгалтерский счет ЛБО_ГАБС_2	account
FB	ACCOUNTS	ЛБО_ГАБС_3	ЛБО_ГАБС_3	Бухгалтерский счет ЛБО_ГАБС_3	account
FB	ACCOUNTS	ЛБО_ГРБС_1	ЛБО_ГРБС_1	Бухгалтерский счет ЛБО_ГРБС_1	account
FB	ACCOUNTS	ЛБО_ГРБС_2	ЛБО_ГРБС_2	Бухгалтерский счет ЛБО_ГРБС_2	account
FB	ACCOUNTS	ЛБО_ГРБС_3	ЛБО_ГРБС_3	Бухгалтерский счет ЛБО_ГРБС_3	account
FB	ACCOUNTS	ЛБО_ГРБС_4	ЛБО_ГРБС_4	Бухгалтерский счет ЛБО_ГРБС_4	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_1	ЛБО_ГРБС_ОКВ_1	Бухгалтерский счет ЛБО_ГРБС_ОКВ_1	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_2	ЛБО_ГРБС_ОКВ_2	Бухгалтерский счет ЛБО_ГРБС_ОКВ_2	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_3	ЛБО_ГРБС_ОКВ_3	Бухгалтерский счет ЛБО_ГРБС_ОКВ_3	account
FB	ACCOUNTS	ЛБО_КОНТР_1	ЛБО_КОНТР_1	Бухгалтерский счет ЛБО_КОНТР_1	account
FB	ACCOUNTS	ЛБО_ПБС_1	ЛБО_ПБС_1	Бухгалтерский счет ЛБО_ПБС_1	account
FB	ACCOUNTS	ЛБО_ПБС_2	ЛБО_ПБС_2	Бухгалтерский счет ЛБО_ПБС_2	account
FB	ACCOUNTS	ЛБО_ПБС_ВАЛ_1	ЛБО_ПБС_ВАЛ_1	Бухгалтерский счет ЛБО_ПБС_ВАЛ_1	account
FB	ACCOUNTS	ЛБО_ПБС_ОТЗ_1	ЛБО_ПБС_ОТЗ_1	Бухгалтерский счет ЛБО_ПБС_ОТЗ_1	account
FB	ACCOUNTS	ЛБО_ПЕР_1	ЛБО_ПЕР_1	Бухгалтерский счет ЛБО_ПЕР_1	account
FB	ACCOUNTS	ЛБО_ПОЛ_1	ЛБО_ПОЛ_1	Бухгалтерский счет ЛБО_ПОЛ_1	account
FB	ACCOUNTS	ЛБО_РБС_РЕЗ_1	ЛБО_РБС_РЕЗ_1	Бухгалтерский счет ЛБО_РБС_РЕЗ_1	account
FB	ACCOUNTS	ЛБО_РЕЗ_1	ЛБО_РЕЗ_1	Бухгалтерский счет ЛБО_РЕЗ_1	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_1	ЛБО_УТВ_БДЖ_1	Бухгалтерский счет ЛБО_УТВ_БДЖ_1	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_2	ЛБО_УТВ_БДЖ_2	Бухгалтерский счет ЛБО_УТВ_БДЖ_2	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_3	ЛБО_УТВ_БДЖ_3	Бухгалтерский счет ЛБО_УТВ_БДЖ_3	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_4	ЛБО_УТВ_БДЖ_4	Бухгалтерский счет ЛБО_УТВ_БДЖ_4	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_1	ЛБО_УТВ_ГРБС_1	Бухгалтерский счет ЛБО_УТВ_ГРБС_1	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_2	ЛБО_УТВ_ГРБС_2	Бухгалтерский счет ЛБО_УТВ_ГРБС_2	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_3	ЛБО_УТВ_ГРБС_3	Бухгалтерский счет ЛБО_УТВ_ГРБС_3	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_4	ЛБО_УТВ_ГРБС_4	Бухгалтерский счет ЛБО_УТВ_ГРБС_4	account
FB	ACCOUNTS	ЛБО_ФАИП_1	ЛБО_ФАИП_1	Бухгалтерский счет ЛБО_ФАИП_1	account
FB	ACCOUNTS	ЛБО_ФАИП_2	ЛБО_ФАИП_2	Бухгалтерский счет ЛБО_ФАИП_2	account
FB	ACCOUNTS	ЛБО_ФАИП_3	ЛБО_ФАИП_3	Бухгалтерский счет ЛБО_ФАИП_3	account
FB	ACCOUNTS	ПОСТ_ЗАЧ_С_БДЖ	ПОСТ_ЗАЧ_С_БДЖ	Бухгалтерский счет ПОСТ_ЗАЧ_С_БДЖ	account
FB	ACCOUNTS	ПОСТУПЛЕНИЯ_ВН	ПОСТУПЛЕНИЯ_ВН	Бухгалтерский счет ПОСТУПЛЕНИЯ_ВН	account
FB	ACCOUNTS	ПОСТУПЛЕНИЯ_КУ	ПОСТУПЛЕНИЯ_КУ	Бухгалтерский счет ПОСТУПЛЕНИЯ_КУ	account
FB	ACCOUNTS	ПОФР_1	ПОФР_1	Бухгалтерский счет ПОФР_1	account
FB	ACCOUNTS	ПОФР_БДЖ_1	ПОФР_БДЖ_1	Бухгалтерский счет ПОФР_БДЖ_1	account
FB	ACCOUNTS	ПОФР_БДЖ_2	ПОФР_БДЖ_2	Бухгалтерский счет ПОФР_БДЖ_2	account
FB	ACCOUNTS	ПОФР_ГАБС5_1	ПОФР_ГАБС5_1	Бухгалтерский счет ПОФР_ГАБС5_1	account
FB	ACCOUNTS	ПОФР_ГАБС_1	ПОФР_ГАБС_1	Бухгалтерский счет ПОФР_ГАБС_1	account
FB	ACCOUNTS	ПОФР_ГРБС5_1	ПОФР_ГРБС5_1	Бухгалтерский счет ПОФР_ГРБС5_1	account
FB	ACCOUNTS	ПОФР_ГРБС5_2	ПОФР_ГРБС5_2	Бухгалтерский счет ПОФР_ГРБС5_2	account
FB	ACCOUNTS	ПОФР_УТВ_ГРБС_1	ПОФР_УТВ_ГРБС_1	Бухгалтерский счет ПОФР_УТВ_ГРБС_1	account
FB	ACCOUNTS	ПОФР_УТВ_ГРБС_2	ПОФР_УТВ_ГРБС_2	Бухгалтерский счет ПОФР_УТВ_ГРБС_2	account
FB	ACCOUNTS	РСЧ_ВЫБ_ДЕБ	РСЧ_ВЫБ_ДЕБ	Бухгалтерский счет РСЧ_ВЫБ_ДЕБ	account
FB	ACCOUNTS	РСЧ_ВЫБ_КРД	РСЧ_ВЫБ_КРД	Бухгалтерский счет РСЧ_ВЫБ_КРД	account
FB	ACCOUNTS	РСЧ_ПОСТ_ДЕБ_Р	РСЧ_ПОСТ_ДЕБ_Р	Бухгалтерский счет РСЧ_ПОСТ_ДЕБ_Р	account
FB	ACCOUNTS	РСЧ_ПОСТ_КРД_В	РСЧ_ПОСТ_КРД_В	Бухгалтерский счет РСЧ_ПОСТ_КРД_В	account
FB	ACCOUNTS	СРЕД	СРЕД	Бухгалтерский счет СРЕД	account
FB	ACCOUNTS	СРЕД_1	СРЕД_1	Бухгалтерский счет СРЕД_1	account
FB	ACCOUNTS	СРЕД_АКР_1	СРЕД_АКР_1	Бухгалтерский счет СРЕД_АКР_1	account
FB	ACCOUNTS	СРЕД_ЕКС_ВАЛ_Н	СРЕД_ЕКС_ВАЛ_Н	Бухгалтерский счет СРЕД_ЕКС_ВАЛ_Н	account
FB	ACCOUNTS	СРЕД_ЕКС_КУ	СРЕД_ЕКС_КУ	Бухгалтерский счет СРЕД_ЕКС_КУ	account
FB	ACCOUNTS	СС_БАЛ_ВАЛ	СС_БАЛ_ВАЛ	Бухгалтерский счет СС_БАЛ_ВАЛ	account
FB	BUDGETS	99010001	99010001	Бюджет 99010001	budgetCode
FB	CONTOUR_CODES	1	1	Контур 1	contourCode
FB	CURRENCY	643	643	Валюта 643	currencyCode
FB	CURRENCY	840	840	Валюта 840	currencyCode
FB	DOCUMENTS	0000000002	0000000002	Документ 0000000002	documentId
FB	DOCUMENTS	0000000004	0000000004	Документ 0000000004	documentId
FB	DOCUMENTS	0000000005	0000000005	Документ 0000000005	documentId
FB	DOCUMENTS	0000000006	0000000006	Документ 0000000006	documentId
FB	DOCUMENTS	0000000008	0000000008	Документ 0000000008	documentId
FB	DOCUMENTS	0000000009	0000000009	Документ 0000000009	documentId
FB	DOCUMENTS	0000000010	0000000010	Документ 0000000010	documentId
FB	DOCUMENTS	0000000012	0000000012	Документ 0000000012	documentId
FB	DOCUMENTS	0000000013	0000000013	Документ 0000000013	documentId
FB	DOCUMENTS	0000000016	0000000016	Документ 0000000016	documentId
FB	DOCUMENTS	0000000017	0000000017	Документ 0000000017	documentId
FB	DOCUMENTS	0000000018	0000000018	Документ 0000000018	documentId
FB	DOCUMENTS	0000000024	0000000024	Документ 0000000024	documentId
FB	DOCUMENTS	0000000025	0000000025	Документ 0000000025	documentId
FB	DOCUMENTS	0000000026	0000000026	Документ 0000000026	documentId
FB	DOCUMENTS	0000000035	0000000035	Документ 0000000035	documentId
FB	DOCUMENTS	0000000042	0000000042	Документ 0000000042	documentId
FB	DOCUMENTS	0000000043	0000000043	Документ 0000000043	documentId
FB	DOCUMENTS	0000000047	0000000047	Документ 0000000047	documentId
FB	DOCUMENTS	0000000074	0000000074	Документ 0000000074	documentId
FB	DOCUMENTS	0000000076	0000000076	Документ 0000000076	documentId
FB	DOCUMENTS	0000000153	0000000153	Документ 0000000153	documentId
FB	DOCUMENTS	0000000188	0000000188	Документ 0000000188	documentId
FB	DOCUMENTS	0000000190	0000000190	Документ 0000000190	documentId
FB	DOCUMENTS	0000000191	0000000191	Документ 0000000191	documentId
FB	DOCUMENTS	0000000193	0000000193	Документ 0000000193	documentId
FB	DOCUMENTS	0000000239	0000000239	Документ 0000000239	documentId
FB	DOCUMENTS	0000000305	0000000305	Документ 0000000305	documentId
FB	DOCUMENTS	0000000365	0000000365	Документ 0000000365	documentId
FB	DOCUMENTS	0000000379	0000000379	Документ 0000000379	documentId
FB	DOCUMENTS	0000000383	0000000383	Документ 0000000383	documentId
FB	DOCUMENTS	0000000384	0000000384	Документ 0000000384	documentId
FB	DOCUMENTS	0000000386	0000000386	Документ 0000000386	documentId
FB	DOCUMENTS	0000000404	0000000404	Документ 0000000404	documentId
FB	DOCUMENTS	0000000426	0000000426	Документ 0000000426	documentId
FB	DOCUMENTS	0000000483	0000000483	Документ 0000000483	documentId
FB	DOCUMENTS	0000000525	0000000525	Документ 0000000525	documentId
FB	DOCUMENTS	0000000562	0000000562	Документ 0000000562	documentId
FB	DOCUMENTS	0000000568	0000000568	Документ 0000000568	documentId
FB	DOCUMENTS	0000000570	0000000570	Документ 0000000570	documentId
FB	DOCUMENTS	0000000572	0000000572	Документ 0000000572	documentId
FB	DOCUMENTS	0000000574	0000000574	Документ 0000000574	documentId
FB	DOCUMENTS	0000000635	0000000635	Документ 0000000635	documentId
FB	DOCUMENTS	0000000685	0000000685	Документ 0000000685	documentId
FB	DOCUMENTS	0000000724	0000000724	Документ 0000000724	documentId
FB	DOCUMENTS	0000000740	0000000740	Документ 0000000740	documentId
FB	DOCUMENTS	0000000746	0000000746	Документ 0000000746	documentId
FB	DOCUMENTS	0000000750	0000000750	Документ 0000000750	documentId
FB	DOCUMENTS	0000000768	0000000768	Документ 0000000768	documentId
FB	DOCUMENTS	0000000805	0000000805	Документ 0000000805	documentId
FB	DOCUMENTS	0000000850	0000000850	Документ 0000000850	documentId
FB	DOCUMENTS	0000000889	0000000889	Документ 0000000889	documentId
FB	DOCUMENTS	0000000911	0000000911	Документ 0000000911	documentId
FB	DOCUMENTS	0000000918	0000000918	Документ 0000000918	documentId
FB	DOCUMENTS	0000000923	0000000923	Документ 0000000923	documentId
FB	DOCUMENTS	0000000939	0000000939	Документ 0000000939	documentId
FB	DOCUMENTS	0000000961	0000000961	Документ 0000000961	documentId
FB	DOCUMENTS	0000001001	0000001001	Документ 0000001001	documentId
FB	DOCUMENTS	0000001031	0000001031	Документ 0000001031	documentId
FB	DOCUMENTS	0000001034	0000001034	Документ 0000001034	documentId
FB	DOCUMENTS	0000001037	0000001037	Документ 0000001037	documentId
FB	DOCUMENTS	0000001042	0000001042	Документ 0000001042	documentId
FB	DOCUMENTS	0000001051	0000001051	Документ 0000001051	documentId
FB	DOCUMENTS	0000001069	0000001069	Документ 0000001069	documentId
FB	DOCUMENTS	0000001080	0000001080	Документ 0000001080	documentId
FB	DOCUMENTS	0000001082	0000001082	Документ 0000001082	documentId
FB	DOCUMENTS	0000001083	0000001083	Документ 0000001083	documentId
FB	DOCUMENTS	0000001085	0000001085	Документ 0000001085	documentId
FB	DOCUMENTS	0000001128	0000001128	Документ 0000001128	documentId
FB	DOCUMENTS	0000001187	0000001187	Документ 0000001187	documentId
FB	DOCUMENTS	0000001226	0000001226	Документ 0000001226	documentId
FB	DOCUMENTS	0000001234	0000001234	Документ 0000001234	documentId
FB	DOCUMENTS	0000001237	0000001237	Документ 0000001237	documentId
FB	DOCUMENTS	0000001238	0000001238	Документ 0000001238	documentId
FB	DOCUMENTS	0000001276	0000001276	Документ 0000001276	documentId
FB	DOCUMENTS	0000001300	0000001300	Документ 0000001300	documentId
FB	DOCUMENTS	0000001320	0000001320	Документ 0000001320	documentId
FB	DOCUMENTS	0000001321	0000001321	Документ 0000001321	documentId
FB	DOCUMENTS	0000001337	0000001337	Документ 0000001337	documentId
FB	DOCUMENTS	0000001374	0000001374	Документ 0000001374	documentId
FB	DOCUMENTS	0000001383	0000001383	Документ 0000001383	documentId
FB	DOCUMENTS	0000001387	0000001387	Документ 0000001387	documentId
FB	DOCUMENTS	0000001425	0000001425	Документ 0000001425	documentId
FB	DOCUMENTS	0000001462	0000001462	Документ 0000001462	documentId
FB	DOCUMENTS	0000001514	0000001514	Документ 0000001514	documentId
FB	DOCUMENTS	0000001524	0000001524	Документ 0000001524	documentId
FB	DOCUMENTS	0000001527	0000001527	Документ 0000001527	documentId
FB	DOCUMENTS	0000001529	0000001529	Документ 0000001529	documentId
FB	DOCUMENTS	0000001571	0000001571	Документ 0000001571	documentId
FB	DOCUMENTS	0000001609	0000001609	Документ 0000001609	documentId
FB	DOCUMENTS	0000001649	0000001649	Документ 0000001649	documentId
FB	DOCUMENTS	0000001661	0000001661	Документ 0000001661	documentId
FB	DOCUMENTS	0000001664	0000001664	Документ 0000001664	documentId
FB	DOCUMENTS	0000001705	0000001705	Документ 0000001705	documentId
FB	DOCUMENTS	0000001746	0000001746	Документ 0000001746	documentId
FB	DOCUMENTS	0000001785	0000001785	Документ 0000001785	documentId
FB	DOCUMENTS	0000001793	0000001793	Документ 0000001793	documentId
FB	DOCUMENTS	0000001798	0000001798	Документ 0000001798	documentId
FB	DOCUMENTS	0000001814	0000001814	Документ 0000001814	documentId
FB	DOCUMENTS	0000001852	0000001852	Документ 0000001852	documentId
FB	DOCUMENTS	0000001877	0000001877	Документ 0000001877	documentId
FB	DOCUMENTS	0000001881	0000001881	Документ 0000001881	documentId
FB	DOCUMENTS	0000001886	0000001886	Документ 0000001886	documentId
FB	DOCUMENTS	0000001901	0000001901	Документ 0000001901	documentId
FB	DOCUMENTS	0000001906	0000001906	Документ 0000001906	documentId
FB	DOCUMENTS	0000001917	0000001917	Документ 0000001917	documentId
FB	DOCUMENTS	0000001918	0000001918	Документ 0000001918	documentId
FB	DOCUMENTS	0000001919	0000001919	Документ 0000001919	documentId
FB	DOCUMENTS	0000001920	0000001920	Документ 0000001920	documentId
FB	DOCUMENTS	0000001927	0000001927	Документ 0000001927	documentId
FB	DOCUMENTS	0000001941	0000001941	Документ 0000001941	documentId
FB	DOCUMENTS	0000001944	0000001944	Документ 0000001944	documentId
FB	DOCUMENTS	0000001945	0000001945	Документ 0000001945	documentId
FB	DOCUMENTS	0000001980	0000001980	Документ 0000001980	documentId
FB	DOCUMENTS	0000001992	0000001992	Документ 0000001992	documentId
FB	DOCUMENTS	0000001993	0000001993	Документ 0000001993	documentId
FB	DOCUMENTS	0000002022	0000002022	Документ 0000002022	documentId
FB	DOCUMENTS	0000002031	0000002031	Документ 0000002031	documentId
FB	DOCUMENTS	0000002034	0000002034	Документ 0000002034	documentId
FB	DOCUMENTS	0000002037	0000002037	Документ 0000002037	documentId
FB	DOCUMENTS	0000002040	0000002040	Документ 0000002040	documentId
FB	DOCUMENTS	0000002077	0000002077	Документ 0000002077	documentId
FB	DOCUMENTS	0000002096	0000002096	Документ 0000002096	documentId
FB	DOCUMENTS	0000002097	0000002097	Документ 0000002097	documentId
FB	DOCUMENTS	0000002098	0000002098	Документ 0000002098	documentId
FB	DOCUMENTS	0000002111	0000002111	Документ 0000002111	documentId
FB	DOCUMENTS	0000002112	0000002112	Документ 0000002112	documentId
FB	DOCUMENTS	0000002113	0000002113	Документ 0000002113	documentId
FB	DOCUMENTS	0000002114	0000002114	Документ 0000002114	documentId
FB	DOCUMENTS	0000002115	0000002115	Документ 0000002115	documentId
FB	DOCUMENTS	0000002116	0000002116	Документ 0000002116	documentId
FB	DOCUMENTS	0000002117	0000002117	Документ 0000002117	documentId
FB	DOCUMENTS	0000002118	0000002118	Документ 0000002118	documentId
FB	DOCUMENTS	0000002119	0000002119	Документ 0000002119	documentId
FB	DOCUMENTS	0000002122	0000002122	Документ 0000002122	documentId
FB	DOCUMENTS	0000002123	0000002123	Документ 0000002123	documentId
FB	DOCUMENTS	0000002124	0000002124	Документ 0000002124	documentId
FB	DOCUMENTS	0000002125	0000002125	Документ 0000002125	documentId
FB	DOCUMENTS	0000002126	0000002126	Документ 0000002126	documentId
FB	DOCUMENTS	0000002127	0000002127	Документ 0000002127	documentId
FB	DOCUMENTS	0000002128	0000002128	Документ 0000002128	documentId
FB	DOCUMENTS	0000002129	0000002129	Документ 0000002129	documentId
FB	DOCUMENTS	0000002130	0000002130	Документ 0000002130	documentId
FB	DOCUMENTS	0000002131	0000002131	Документ 0000002131	documentId
FB	DOCUMENTS	0000002132	0000002132	Документ 0000002132	documentId
FB	DOCUMENTS	0000002133	0000002133	Документ 0000002133	documentId
FB	DOCUMENTS	0000002134	0000002134	Документ 0000002134	documentId
FB	DOCUMENTS	0000002135	0000002135	Документ 0000002135	documentId
FB	DOCUMENTS	0000002136	0000002136	Документ 0000002136	documentId
FB	DOCUMENTS	0000002137	0000002137	Документ 0000002137	documentId
FB	DOCUMENTS	0000002138	0000002138	Документ 0000002138	documentId
FB	DOCUMENTS	0000002139	0000002139	Документ 0000002139	documentId
FB	DOCUMENTS	0000002140	0000002140	Документ 0000002140	documentId
FB	DOCUMENTS	0000002141	0000002141	Документ 0000002141	documentId
FB	DOCUMENTS	0000002142	0000002142	Документ 0000002142	documentId
FB	DOCUMENTS	0000002145	0000002145	Документ 0000002145	documentId
FB	DOCUMENTS	0000002146	0000002146	Документ 0000002146	documentId
FB	DOCUMENTS	0000002147	0000002147	Документ 0000002147	documentId
FB	DOCUMENTS	0000002148	0000002148	Документ 0000002148	documentId
FB	DOCUMENTS	0000002149	0000002149	Документ 0000002149	documentId
FB	DOCUMENTS	0000002150	0000002150	Документ 0000002150	documentId
FB	DOCUMENTS	0000002151	0000002151	Документ 0000002151	documentId
FB	DOCUMENTS	0000002152	0000002152	Документ 0000002152	documentId
